0.290577	0.27496	0.144861	0.191734	0.182608	0.184735	0.13338	0.168443	0.180724	0.139825	0.16108	0.143576	0.172862	0.16107	0.216244	0.278938	0.178524	0.232885	0.188517	0.263764	0.279834	
0.15092	0.164098	0.101587	0.0491273	0.0729222	0.119561	0.105612	0.118546	0.143312	0.0836002	0.0683721	0.0673398	0.14867	0.21268	0.228965	0.252405	0.18553	0.157484	0.193527	0.185037	0.30165	
0.181898	0.436432	0.523339	0.645485	0.581437	0.519627	0.54662	0.745448	0.639393	0.627171	0.639989	0.393592	0.307272	0.320069	0.35046	0.400024	0.356772	0.346317	0.3304	0.298318	0.337162	
0.402066	0.436325	0.582823	0.647225	0.636209	0.602278	0.664087	0.608278	0.694922	0.555476	0.642731	0.720918	0.68115	0.505772	0.475883	0.329514	0.279917	0.449641	0.571716	0.387779	0.455375	
0.684219	0.321169	0.12992	0.233528	0.191607	0.206955	0.153524	0.16136	0.139204	0.165243	0.265167	0.491832	0.700828	0.719565	0.680185	0.694597	0.838932	0.648837	0.787726	0.720109	0.739715	
0.650144	0.795732	0.676402	0.664749	0.657896	0.663896	0.863759	0.871945	0.637724	0.58321	0.681549	0.748724	0.743286	0.803402	0.603737	0.615736	0.682321	0.742526	0.641595	0.785694	0.689678	
0.490723	0.500368	0.497829	0.408376	0.629917	0.556813	0.618987	0.532397	0.549433	0.533782	0.660086	0.655988	0.513428	0.606854	0.538578	0.603931	0.591122	0.668619	0.666058	0.582592	0.456397	
0.521716	0.493107	0.452622	0.496234	0.43027	0.376007	0.344148	0.384947	0.3609	0.259304	0.288251	0.355952	0.333787	0.373296	0.5231	0.513224	0.470636	0.548862	0.682364	0.520044	0.628859	
0.690182	0.648096	0.597029	0.393622	0.255073	0.246079	0.2576	0.33327	0.310195	0.317477	0.258884	0.177185	0.383553	0.412878	0.573442	0.667411	0.688069	0.682288	0.627228	0.683499	0.548101	
0.61899	0.51158	0.481927	0.510786	0.473353	0.44622	0.472414	0.462653	0.437736	0.432336	0.375141	0.297134	0.454277	0.490267	0.449018	0.423326	0.457825	0.482511	0.54226	0.480083	0.512266	
